description,evaluate,introduce,movie_name,serial_number,start
"In memory, love lives forever...",191594人评价,1996/美国英国/爱情剧情战争,英国病人,236,9.1
还原真实而残酷的战争。,137330人评价,2001/美国/动作历史战争,黑鹰坠落,237,9.1
你要相信，这世上真的有爱存在，不管在什么年纪 ,68723人评价,2011/韩国/剧情爱情,我爱你,238,9.1
最美的飞翔。,56374人评价,2001/法国德国意大利西班牙瑞士/纪录片,迁徙的鸟,239,9.1
用剩余不多的时间，去燃烧整个生命。,152771人评价,2007/美国/冒险喜剧剧情,遗愿清单,240,9.1
热血沸腾，相当完美的娱乐拳击大餐。,96902人评价,2011/美国/剧情运动家庭,勇士,241,9.1
一个人的独角戏。,156815人评价,2000/美国/冒险剧情,荒岛余生,242,9.1
现代科幻电影的开山之作，最伟大导演的最伟大影片。,112285人评价,1968/英国美国/科幻惊悚冒险,2001太空漫游,243,9.1
一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,113982人评价,1999/香港/剧情动作犯罪,枪火,244,9.1
现实与童话交相辉映的旅程。,115984人评价,1996/日本/犯罪剧情,燕尾蝶,245,9.1
乐观比一切都有力量。,120810人评价,2008/美国/剧情传记,叫我第一名,246,9.1
大卫·林奇的梦境迷宫。,261832人评价,2001/法国美国/剧情悬疑惊悚,穆赫兰道,247,9.1
一部能引人思考的科幻励志片。,101109人评价,1997/美国/剧情科幻惊悚,千钧一发,248,9.1
捍卫人权只是信仰，一点不妨碍其行为的残忍。,110868人评价,2003/美国德国英国/剧情犯罪悬疑,大卫·戈尔的一生,249,9.1
